,players_name,understat_name
0,Ahmed El Mohamady,Ahmed El Mohamady
1,Alex Oxlade Chamberlain,Alex Oxlade Chamberlain
2,Alisson Becker,Alisson
3,Amad Diallo,Amad Diallo Traore
4,Andy Robertson,Andrew Robertson
5,Armel Bella-Kotchap,Armel Bella Kotchap
6,Arnaut Danjuma,Arnaut Danjuma Groeneveld
7,Benoit Badiashile,Benoit Badiashile Mukinayi
8,Bernardo Espinosa,Bernardo
9,Bobby De Cordova-Reid,Bobby Reid
10,Bradley Jones,Brad Jones
11,Bryan Gil,Bryan Gil Salvatierra
12,Cheick Doucoure,Cheick Oumar Doucoure
13,Danny Drinkwater,Daniel Drinkwater
14,Emile Smith Rowe,Emile Smith-Rowe
15,Eric Choupo-Moting,Eric Maxim Choupo-Moting
16,Ezri Konsa,Ezri Konsa Ngoyo
17,Hamed Traore,Hamed Junior Traore
18,Hwang Hee-Chan,Hee-Chan Hwang
19,Harry Kane,Harry Kane
20,Ian Poveda,Ian Poveda-Ocampo
21,Jaden Philogene,Jaden Philogene-Bidace
22,Johann Gudmundsson,Johann Berg Gudmundsson
23,Jonny Otto,Jonny
24,Jose Crespo,Jose Angel Crespo
25,Jose Angel Pozo,Jose Pozo
26,Josh Sargent,Joshua Sargent
27,Juan Camilo Zuniga,Juan Camilo Hernandez
28,Ki Sung-Yueng,Ki Sung-yueng
29,Kostas Tsimikas,Konstantinos Tsimikas
30,Lasse Soerensen,Lasse Sorenson
31,Lee Chung-Yong,Lee Chung-yong
32,Leo Hjelde,Leo Fuhr Hjelde
33,Mads Bech,Mads Bech Soerensen
34,Mame Diouf,Mame Biram Diouf
35,Martin Oedegaard,Martin Odegaard
36,Mathew Ryan,Mat Ryan
37,Matthew Worthington,Matt Worthington
38,Matty Cash,Matthew Cash
39,Matty James,Matthew James
40,Matty Longstaff,Matthew Longstaff
41,Max-Alain Gradel,Max Gradel
42,Maximilian Kilman,Max Kilman
43,Nayef Aguerd,Naif Aguerd
44,Nicolas Nkoulou,Nicolas N'Koulou
45,Raheem Sterling,Raheem Sterling
46,Radamel Falcao,Falcao
47,Rayan Ait-Nouri,Rayan Ait Nouri
48,Ritchie De Laet,Ritchie de Laet
49,Robert Brady,Robbie Brady
50,Riyad Mahrez,Riyad Mahrez
51,Santi Cazorla,Santiago Cazorla
52,Sokratis Papastathopoulos,Sokratis
53,Steven Nzonzi,Steven N'Zonzi
54,Tanguy Ndombele,Tanguy NDombele Alvaro
55,Tino Anjorin,Anjorin
56,Toti Gomes,Toti
57,Trent Alexander-Arnold,Trent Alexander-Arnold
58,Will Smallbone,William Smallbone
