,Unnamed: 0,Name,year
49,1396,Ahmed El Mohamady,2016
2,66,Ahmed El Mohamady,2014
94,2926,Ahmed El Mohamady,2019
120,3379,Ahmed El Mohamady,2020
29,833,Alex Oxlade Chamberlain,2015
153,3944,Alex Oxlade Chamberlain,2021
39,1187,Alex Oxlade Chamberlain,2016
193,4616,Alex Oxlade Chamberlain,2022
79,2521,Alex Oxlade Chamberlain,2018
61,1749,Alex Oxlade Chamberlain,2017
3,73,Alex Oxlade Chamberlain,2014
90,2873,Alex Oxlade Chamberlain,2019
133,3586,Alex Oxlade Chamberlain,2020
117,3322,Alisson Becker,2020
72,2286,Alisson Becker,2018
170,4257,Alisson Becker,2022
143,3761,Alisson Becker,2021
92,2882,Alisson Becker,2019
27,777,Allan-Romeo Nyom,2015
43,1296,Allan-Romeo Nyom,2016
67,1932,Allan-Romeo Nyom,2017
114,3292,Amad Diallo,2020
110,3198,Andre-Frank Zambo Anguissa,2020
75,2342,Andre-Frank Zambo Anguissa,2018
80,2544,Andrii Yarmolenko,2018
164,4127,Andrii Yarmolenko,2021
132,3577,Andrii Yarmolenko,2020
95,2945,Andrii Yarmolenko,2019
112,3238,Andy Robertson,2020
70,2162,Andy Robertson,2018
84,2664,Andy Robertson,2019
137,3675,Andy Robertson,2021
175,4307,Andy Robertson,2022
10,275,Andy Robertson,2014
59,1693,Andy Robertson,2017
45,1343,Andy Robertson,2016
178,4334,Armel Bella-Kotchap,2022
102,3045,Arnaut Danjuma,2019
194,4643,Arnaut Danjuma,2022
171,4261,Benoit Badiashile,2022
41,1264,Bernardo Espinosa,2016
123,3439,Bobby De Cordova-Reid,2020
188,4506,Bobby De Cordova-Reid,2022
78,2491,Bobby De Cordova-Reid,2018
16,483,Bradley Jones,2014
191,4535,Bryan Gil,2022
165,4128,Bryan Gil,2021
177,4332,Cheick Doucoure,2022
155,3968,Cucho Hernandez,2021
169,4229,Dan Bentley,2022
134,3619,Daniel Nlundulu,2020
68,1977,Danny Drinkwater,2017
11,283,Danny Drinkwater,2014
21,556,Danny Drinkwater,2015
42,1289,Danny Drinkwater,2016
106,3128,Danny Drinkwater,2019
107,3129,Danny Drinkwater,2019
145,3766,Emerson Royal,2021
176,4310,Emerson Royal,2022
149,3827,Emile Smith Rowe,2021
195,4657,Emile Smith Rowe,2022
115,3299,Emile Smith Rowe,2020
103,3046,Emile Smith Rowe,2019
47,1370,Emilio Nsue,2016
60,1724,Eric Choupo-Moting,2017
98,2967,Ezri Konsa,2019
183,4425,Ezri Konsa,2022
158,4022,Ezri Konsa,2021
116,3311,Ezri Konsa,2020
118,3326,Gabriel Magalhaes,2020
172,4269,Gabriel Magalhaes,2022
148,3825,Gabriel Magalhaes,2021
1,19,Gabriel Paulista,2014
40,1232,Gabriel Paulista,2016
22,570,Gabriel Paulista,2015
173,4301,Hamed Traore,2022
192,4601,Hwang Hee-Chan,2022
154,3960,Hwang Hee-Chan,2021
130,3566,Ian Poveda,2020
82,2562,Iborra,2018
62,1769,Iborra,2017
167,4176,Jaden Philogene,2021
135,3627,Jaden Philogene,2020
33,953,Jiang Guangtai,2015
17,493,Jiang Guangtai,2014
185,4441,Joe Aribo,2022
152,3940,Joe Gomez,2021
73,2304,Joe Gomez,2018
87,2777,Joe Gomez,2019
126,3464,Joe Gomez,2020
179,4351,Joe Gomez,2022
55,1666,Joe Gomez,2017
24,718,Joe Gomez,2015
199,4723,Joe Hodge,2022
198,4701,Joe Whitworth,2022
91,2880,Johann Gudmundsson,2019
58,1692,Johann Gudmundsson,2017
48,1394,Johann Gudmundsson,2016
159,4026,Johann Gudmundsson,2021
74,2310,Johann Gudmundsson,2018
125,3459,Johann Gudmundsson,2020
189,4509,Jonny Otto,2022
86,2762,Jonny Otto,2019
147,3822,Jonny Otto,2021
127,3472,Jonny Otto,2020
71,2262,Jonny Otto,2018
15,403,Jonny Williams,2014
36,1065,Jonny Williams,2015
18,502,Jose Angel Pozo,2014
37,1073,Jose Crespo,2015
26,775,Jose Manuel Jurado,2015
12,302,Joseph O'Brien,2014
160,4073,Josh Sargent,2021
50,1502,Juan Camilo Zuniga,2016
76,2419,Ki Sung-Yueng,2018
66,1918,Ki Sung-Yueng,2017
4,88,Ki Sung-Yueng,2014
51,1509,Ki Sung-Yueng,2016
30,885,Ki Sung-Yueng,2015
100,3037,Ki Sung-Yueng,2019
187,4492,Kostas Tsimikas,2022
136,3637,Kostas Tsimikas,2020
138,3700,Kostas Tsimikas,2021
57,1681,Lasse Soerensen,2017
32,948,Lee Chung-Yong,2015
52,1539,Lee Chung-Yong,2016
69,2116,Lee Chung-Yong,2017
19,533,Lee Chung-Yong,2014
151,3864,Leo Hjelde,2021
197,4688,Mads Bech,2022
162,4092,Mads Bech,2021
31,923,Mame Diouf,2015
9,222,Mame Diouf,2014
63,1822,Mame Diouf,2017
46,1365,Mame Diouf,2016
146,3820,Marcal,2021
128,3481,Marcal,2020
142,3748,Martin Oedegaard,2021
168,4197,Martin Oedegaard,2022
119,3331,Martin Oedegaard,2020
64,1844,Mathew Ryan,2017
77,2488,Mathew Ryan,2018
89,2847,Mathew Ryan,2019
109,3170,Mathew Ryan,2020
108,3169,Mathew Ryan,2020
53,1594,Matthew Worthington,2016
141,3746,Matty Cash,2021
111,3213,Matty Cash,2020
184,4430,Matty Cash,2022
8,210,Matty James,2014
54,1599,Matty James,2016
105,3110,Matty James,2019
65,1898,Matty James,2017
129,3548,Matty Longstaff,2020
97,2965,Matty Longstaff,2019
28,805,Max-Alain Gradel,2015
121,3410,Maximilian Kilman,2020
181,4385,Maximilian Kilman,2022
144,3762,Maximilian Kilman,2021
93,2912,Maximilian Kilman,2019
83,2608,Maximilian Kilman,2018
180,4357,Nayef Aguerd,2022
156,3987,Nicolas Nkoulou,2021
166,4167,Nohan Kenneh,2021
196,4665,Pape Matar Sarr,2022
13,314,Papiss Cisse,2014
34,987,Papiss Cisse,2015
96,2952,Pepe Reina,2019
174,4303,Pervis Estupinan,2022
161,4080,Peter Etebo,2021
35,1005,Radamel Falcao,2015
14,344,Radamel Falcao,2014
186,4460,Rayan Ait-Nouri,2022
140,3723,Rayan Ait-Nouri,2021
122,3424,Rayan Ait-Nouri,2020
25,750,Ritchie De Laet,2015
6,142,Ritchie De Laet,2014
44,1301,Robert Brady,2016
23,593,Robert Brady,2015
81,2556,Robert Brady,2018
56,1668,Robert Brady,2017
7,164,Robert Brady,2014
124,3446,Robert Brady,2020
101,3044,Robert Brady,2019
0,3,Santi Cazorla,2014
38,1164,Santi Cazorla,2016
20,541,Santi Cazorla,2015
85,2756,Sokratis Papastathopoulos,2019
5,134,Steven Nzonzi,2014
157,3997,Tanguy Ndombele,2021
113,3246,Tanguy Ndombele,2020
88,2820,Tanguy Ndombele,2019
104,3075,Tino Anjorin,2019
150,3835,Tino Livramento,2021
190,4519,Tino Livramento,2022
139,3707,Toti Gomes,2021
182,4393,Toti Gomes,2022
163,4114,Will Smallbone,2021
131,3575,Will Smallbone,2020
99,3014,Will Smallbone,2019
